step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
84,[54.88287   74.930786   5.6508183],20.0000,6.0000,[57.851837  48.435856   1.7886983],20.0000,0.0000,[ 62.405685  -23.259134    0.9237148],20.0000,0.0000,[ 87.98248  -44.31324    5.940863],20.0000,4.0000,[87.63439    45.999756    0.16900247],20.0000,4.0000
85,[55.796494 74.33085   5.742626],20.0000,6.0000,[57.626328  49.503914   1.5003604],20.0000,6.0000,[ 63.12694   -22.435999    0.6113344],20.0000,0.0000,[ 88.53839  -44.477375   5.939364],20.0000,4.0000,[88.20126    46.118416    0.16548243],20.0000,3.0000
86,[56.745842 73.79149   5.967531],20.0000,0.0000,[57.65535  50.596134  1.590489],20.0000,6.0000,[ 64.01317    -21.798605     0.12972407],20.0000,6.0000,[ 89.09347  -44.643986   5.941418],20.0000,3.0000,[8.8768127e+01 4.6237587e+01 7.3718004e-02],20.0000,4.0000
87,[57.77962  73.440865  5.678523],20.0000,6.0000,[57.61434   51.687088   1.8129519],20.0000,0.0000,[ 65.079704   -21.535952     0.18105645],20.0000,0.0000,[ 89.64912  -44.808784   5.852856],20.0000,4.0000,[8.9342247e+01 4.6321606e+01 4.1684017e-02],20.0000,4.0000
88,[58.704094 72.85863   5.768326],20.0000,6.0000,[57.369843  52.751057   1.5223922],20.0000,0.0000,[ 66.134796  -21.237705    6.1481457],20.0000,6.0000,[ 90.19472  -45.007496   5.822798],20.0000,4.0000,[8.9918625e+01 4.6390442e+01 3.3657156e-02],20.0000,4.0000
89,[59.6632    72.33715    5.9903865],20.0000,6.0000,[57.36295   53.844223   1.0606711],20.0000,0.0000,[ 67.237076  -21.232597    6.2551823],20.0000,0.0000,[ 90.73505   -45.220585    5.8165526],20.0000,4.0000,[9.0495605e+01 4.6452724e+01 3.5322271e-02],20.0000,4.0000
90,[60.697754 71.987114  6.250135],20.0000,6.0000,[57.74232  54.882755  0.572599],20.0000,0.0000,[ 68.33132   -21.15163     5.9764643],20.0000,6.0000,[ 91.27275   -45.43961     5.8197813],20.0000,4.0000,[9.1072601e+01 4.6512390e+01 4.0380254e-02],20.0000,3.0000
91,[61.785507   71.85417     0.23216607],20.0000,6.0000,[58.51596    55.69726     0.13544431],20.0000,0.0000,[ 69.41724   -21.338165    6.0962987],20.0000,0.0000,[ 91.80922  -45.660767   5.826112],20.0000,4.0000,[91.64933   46.57413    6.2375584],20.0000,4.0000
92,[62.88179    71.96146     0.48201752],20.0000,6.0000,[59.557945  56.13502    6.0671544],20.0000,6.0000,[ 70.50958   -21.436247    5.8199964],20.0000,6.0000,[ 92.34514  -45.88247    5.832836],20.0000,4.0000,[92.229904 46.600815  6.209538],20.0000,4.0000
93,[63.93215    72.30848     0.70292705],20.0000,6.0000,[6.0680164e+01 5.6156403e+01 3.0008074e-02],20.0000,0.0000,[ 71.551285  -21.79349     5.9382644],20.0000,6.0000,[ 92.88081   -46.10412     5.8389554],20.0000,3.0000,[92.81106  46.612095  6.20535 ],20.0000,4.0000
